week_start,seasonality_index,competitor_spend_index,cpi,promo_flag,promo_intensity,google_trends_brand
2023-09-25,1.0,0.8202,111.72,0,0.0,43
2023-10-02,1.006,0.9594,110.22,0,0.0,21
2023-10-09,1.0484,0.7564,112.42,0,0.0,16
2023-10-16,1.0907,0.8262,109.24,0,0.0,23
2023-10-23,1.133,0.8556,109.15,0,0.0,25
2023-10-30,1.1753,0.8571,112.36,0,0.0,18
2023-11-06,1.2176,0.8149,112.05,0,0.0,32
2023-11-13,1.2599,0.9101,110.61,0,0.0,42
2023-11-20,1.3022,0.9191,109.71,1,0.35,26
2023-11-27,1.3445,0.9172,113.72,1,0.35,39
2023-12-04,1.3868,0.9469,109.07,1,0.25,43
2023-12-11,1.4291,0.9256,110.87,1,0.25,42
2023-12-18,1.4714,0.8832,112.23,1,0.25,46
2023-12-25,1.5137,0.9461,114.7,0,0.0,49
