week_start,week_number,year,quarter,revenue_usd,spend_tv_brand,impressions_tv_brand,spend_paid_search_google,impressions_paid_search_google,spend_paid_social_facebook,impressions_paid_social_facebook,spend_paid_social_instagram,impressions_paid_social_instagram,spend_display_programmatic,impressions_display_programmatic,spend_email_marketing,impressions_email_marketing,spend_affiliate,impressions_affiliate,spend_influencer,impressions_influencer,spend_ooh_outdoor,impressions_ooh_outdoor,spend_podcast_radio,impressions_podcast_radio
2023-01-09,54,2023,Q1,914031.66,44565.1,5570637,41010.55,8202110,22672.38,1889364,7991.14,570795,6663.63,1903893,2411.11,3013881,2087.39,0,14388.96,799386,19332.88,3222146,7810.02,781002
2023-01-16,55,2023,Q1,861243.77,0.0,0,43185.51,8637101,26624.76,2218729,22834.3,1631021,15473.17,4420906,3111.14,3888928,7619.81,0,6480.08,360004,0.0,0,9867.06,986706
2023-01-23,56,2023,Q1,837547.02,33523.62,4190452,31324.05,6264810,20450.35,1704195,6906.5,493321,10150.22,2900062,2378.85,2973566,9512.94,0,0.0,0,23932.58,3988763,7757.06,775705
2023-01-30,57,2023,Q1,920484.1,45179.98,5647497,33790.4,6758080,24424.84,2035403,20739.89,1481420,12531.76,3580503,3264.69,4080865,7581.93,0,0.0,0,19912.78,3318795,5682.45,568245
2023-02-06,58,2023,Q1,939437.11,42466.44,5308304,36783.54,7356707,24372.78,2031064,17806.02,1271858,13476.39,3850396,3699.05,4623816,2123.55,0,16705.33,928073,31191.3,5198550,0.0,0
2023-02-13,59,2023,Q1,1074964.65,45497.57,5687196,30970.37,6194074,26915.56,2242963,38271.5,2733678,15653.05,4472300,3072.9,3841119,10421.38,0,19512.95,1084052,40503.05,6750508,10014.17,1001416
2023-02-20,60,2023,Q1,1105670.82,77681.47,9710183,64115.3,12823059,40139.19,3344932,22774.96,1626783,11710.48,3345850,3904.8,4880998,11790.34,0,5544.92,308050,31847.47,5307911,15884.86,1588485
2023-02-27,61,2023,Q1,1074859.46,32783.54,4097942,50760.27,10152053,32967.94,2747328,11466.33,819023,15130.21,4322916,2913.43,3641787,4739.71,0,9793.31,544072,0.0,0,10351.86,1035186
2023-03-06,62,2023,Q1,989749.72,38340.65,4792581,46316.67,9263333,40091.01,3340917,18646.49,1331892,14764.79,4218511,3478.45,4348056,6378.23,0,10467.62,581534,62550.71,10425117,17002.9,1700289
2023-03-13,63,2023,Q1,1081939.89,102528.44,12816055,37883.83,7576766,26231.18,2185931,0.0,0,10580.46,3022988,5224.95,6531182,8722.41,0,10225.11,568061,23771.75,3961959,10155.31,1015531
2023-03-20,64,2023,Q1,1042593.22,37004.7,4625586,30364.45,6072890,37974.52,3164543,19277.09,1376935,11195.24,3198639,3199.45,3999312,0.0,0,5949.95,330552,40300.79,6716798,11373.15,1137315
2023-03-27,65,2023,Q1,1016212.57,56936.46,7117057,48490.41,9698082,19638.13,1636510,12780.76,912911,16280.08,4651450,3547.57,4434461,6622.83,0,33460.0,1858889,19843.94,3307323,15010.73,1501072
2023-04-03,66,2023,Q2,1036414.91,118546.51,14818314,36628.32,7325664,32464.96,2705413,25805.21,1843228,0.0,0,2821.96,3527447,7736.81,0,9602.32,533462,0.0,0,6605.77,660577
2023-04-10,67,2023,Q2,1004037.45,0.0,0,42132.48,8426496,38757.09,3229757,21237.76,1516983,0.0,0,4000.6,5000751,9752.38,0,6185.65,343647,13100.25,2183375,12889.05,1288905
2023-04-17,68,2023,Q2,1135775.56,81487.4,10185925,33004.87,6600973,19438.97,1619914,0.0,0,26187.1,7482028,2999.48,3749343,9013.72,0,34077.83,1893212,32500.03,5416671,16509.44,1650943
2023-04-24,69,2023,Q2,998640.94,34099.97,4262496,40399.92,8079983,26316.21,2193017,31739.39,2267099,13636.6,3896170,3713.92,4642403,14468.9,0,27766.81,1542600,17314.16,2885694,15414.81,1541481
2023-05-01,70,2023,Q2,1009431.52,68064.09,8508011,33476.72,6695344,32458.28,2704856,31188.36,2227739,7844.81,2241373,4279.31,5349135,4283.52,0,11970.28,665015,33029.07,5504845,8093.12,809312
2023-05-08,71,2023,Q2,1044906.86,38662.46,4832807,33778.57,6755714,43277.11,3606425,17031.02,1216501,5809.73,1659924,3327.72,4159648,4543.9,0,3806.96,211497,0.0,0,0.0,0
2023-05-15,72,2023,Q2,1018522.18,47579.67,5947458,40269.67,8053934,26914.59,2242882,23871.36,1705097,9305.11,2658604,3918.24,4897804,8043.32,0,8316.77,462042,30861.04,5143506,8797.63,879763
2023-05-22,73,2023,Q2,1015724.39,79314.1,9914262,26458.17,5291634,37512.61,3126050,15935.78,1138270,18585.84,5310239,3757.95,4697435,11798.31,0,4225.23,234734,35866.62,5977769,12372.35,1237235
2023-05-29,74,2023,Q2,1081247.62,31609.07,3951134,26728.23,5345645,49313.92,4109493,19295.41,1378243,8389.12,2396891,4315.21,5394017,13155.0,0,14970.11,831672,16466.48,2744413,15361.78,1536177
2023-06-05,75,2023,Q2,965241.28,26681.37,3335171,31752.62,6350523,38048.34,3170695,10558.87,754205,19846.75,5670499,3922.59,4903241,0.0,0,7990.67,443926,26516.72,4419453,11011.89,1101188
2023-06-12,76,2023,Q2,1083441.94,59764.89,7470611,36025.4,7205080,30108.94,2509078,13611.54,972252,18158.48,5188137,4529.97,5662456,7399.72,0,10819.89,601105,15423.13,2570521,6895.19,689519
2023-06-19,77,2023,Q2,1036949.61,61823.31,7727913,47087.19,9417438,35768.93,2980744,22004.79,1571770,13455.49,3844424,3321.72,4152151,8931.89,0,31856.65,1769814,0.0,0,13885.39,1388539
2023-06-26,78,2023,Q2,909747.69,68808.01,8601000,32129.29,6425858,23493.11,1957758,8574.46,612461,6692.68,1912193,2385.3,2981625,8362.97,0,6744.55,374697,19154.32,3192386,16556.95,1655694
2023-07-03,79,2023,Q3,1082113.16,61213.85,7651731,33285.59,6657117,28901.09,2408424,16377.37,1169812,9341.44,2668983,2217.06,2771323,4527.07,0,12824.1,712450,16386.54,2731089,8441.13,844112
2023-07-10,80,2023,Q3,978325.35,55320.47,6915058,31111.83,6222365,26875.08,2239589,16864.34,1204595,11186.74,3196212,2257.78,2822231,0.0,0,15328.44,851580,10844.78,1807463,0.0,0
2023-07-17,81,2023,Q3,1038935.88,35640.72,4455089,36249.75,7249949,31161.5,2596791,0.0,0,14183.03,4052294,2898.58,3623230,7859.6,0,20210.9,1122827,10760.88,1793480,5579.82,557982
2023-07-24,82,2023,Q3,867092.13,53732.28,6716535,27192.6,5438520,24886.85,2073903,12949.6,924971,0.0,0,3186.33,3982906,10580.76,0,0.0,0,0.0,0,11988.44,1198844
2023-07-31,83,2023,Q3,1052412.03,55223.16,6902894,32543.01,6508602,31697.51,2641459,16531.07,1180790,18018.97,5148276,2677.56,3346951,14406.46,0,0.0,0,24502.65,4083774,13342.04,1334203
2023-08-07,84,2023,Q3,970309.76,0.0,0,36972.73,7394546,24818.94,2068245,23683.63,1691687,10740.63,3068751,1964.25,2455312,7316.46,0,5716.02,317556,31744.95,5290825,12318.46,1231845
2023-08-14,85,2023,Q3,846692.52,35094.4,4386800,35366.88,7073376,36570.43,3047535,12384.26,884590,13723.25,3920929,2686.75,3358433,6345.53,0,5893.99,327444,28993.64,4832274,8681.97,868197
2023-08-21,86,2023,Q3,951156.6,77610.76,9701345,33545.44,6709087,25536.16,2128013,15647.21,1117657,11236.88,3210537,2812.52,3515649,5088.53,0,16746.89,930382,0.0,0,14409.09,1440908
2023-08-28,87,2023,Q3,897752.39,87864.63,10983079,33645.53,6729106,15278.78,1273231,29438.95,2102782,14808.41,4230975,3067.74,3834680,3988.6,0,5978.41,332133,13545.8,2257634,8778.17,877817
2023-09-04,88,2023,Q3,1055179.76,39224.54,4903066,43038.1,8607619,23648.74,1970728,23059.66,1647118,17851.06,5100303,4673.18,5841475,4016.63,0,10859.88,603326,22864.17,3810695,14489.97,1448997
2023-09-11,89,2023,Q3,1064207.04,33070.46,4133808,65097.22,13019443,32177.31,2681442,14783.45,1055960,23074.73,6592779,2430.14,3037675,6441.03,0,0.0,0,0.0,0,11825.7,1182570
2023-09-18,90,2023,Q3,1024953.31,66576.52,8322065,31366.78,6273355,52913.95,4409496,22376.36,1598311,17040.95,4868842,4009.87,5012331,15137.53,0,0.0,0,41682.26,6947042,4945.07,494506
2023-09-25,91,2023,Q3,1241760.77,83979.62,10497453,65695.92,13139184,41040.43,3420035,10389.47,742105,16265.54,4647295,3926.93,4908656,12631.42,0,7025.65,390314,25454.13,4242354,22552.98,2255298
2023-10-02,92,2023,Q4,1087059.64,40219.29,5027411,41007.5,8201500,26111.77,2175980,23131.54,1652252,13735.63,3924466,5879.17,7348963,0.0,0,3639.46,202192,54420.45,9070075,13505.09,1350509
2023-10-09,93,2023,Q4,1242296.58,58499.25,7312406,64290.24,12858048,49385.61,4115467,40420.55,2887182,21031.66,6009045,6987.26,8734075,10918.12,0,23776.93,1320940,7249.32,1208220,38677.32,3867731
2023-10-16,94,2023,Q4,1413158.95,155222.08,19402760,47229.34,9445868,69397.93,5783160,38576.46,2755461,16118.98,4605423,5134.18,6417723,22505.18,0,22007.31,1222628,57978.81,9663135,21602.65,2160265
2023-10-23,95,2023,Q4,1427923.15,118714.66,14839332,45058.33,9011666,81049.93,6754161,40182.92,2870208,20649.03,5899723,4539.34,5674172,14684.83,0,0.0,0,36150.64,6025105,24215.09,2421509
2023-10-30,96,2023,Q4,1446411.99,50901.09,6362636,63446.73,12689345,53464.69,4455390,32169.0,2297785,10090.29,2882939,4395.13,5493910,20066.56,0,23892.62,1327367,67905.21,11317534,21881.07,2188107
2023-11-06,97,2023,Q4,1617825.23,135789.3,16973663,80814.78,16162955,105781.49,8815124,41228.98,2944927,15575.46,4450132,6290.92,7863651,9565.65,0,10588.67,588259,35251.91,5875318,23140.09,2314008
2023-11-13,98,2023,Q4,1395566.89,116641.77,14580221,119091.17,23818233,76994.02,6416168,0.0,0,22245.57,6355877,6905.66,8632080,11739.02,0,34728.63,1929368,17141.55,2856925,32058.79,3205878
2023-11-20,99,2023,Q4,2354594.21,171072.73,21384090,81924.05,16384809,79082.03,6590169,48854.27,3489590,51086.2,14596058,6688.92,8361144,0.0,0,11382.97,632387,50466.09,8411015,4351.85,435184
2023-11-27,100,2023,Q4,2117585.6,164560.86,20570107,61429.69,12285937,61498.02,5124835,33343.07,2381647,0.0,0,6579.12,8223905,21797.9,0,16531.98,918443,63313.79,10552298,45725.03,4572502
2023-12-04,101,2023,Q4,2238042.55,100314.4,12539299,97861.13,19572225,102609.02,8550751,36000.77,2571483,41659.75,11902786,5996.57,7495710,12723.8,0,35641.99,1980110,0.0,0,36873.72,3687371
2023-12-11,102,2023,Q4,2153320.73,131327.3,16415912,78720.65,15744130,87106.61,7258884,0.0,0,22405.38,6401536,7038.43,8798041,8681.59,0,126938.73,7052151,30302.11,5050352,16628.09,1662808
2023-12-18,103,2023,Q4,2384006.58,320972.22,40121527,93532.46,18706492,71389.14,5949094,48330.68,3452191,25467.58,7276451,8142.03,10177541,25297.82,0,0.0,0,0.0,0,32755.82,3275581
2023-12-25,104,2023,Q4,2250916.5,220339.05,27542380,102103.64,20420728,110062.09,9171841,41345.82,2953273,41549.75,11871355,6643.56,8304444,11595.52,0,14947.84,830435,17630.19,2938364,40277.44,4027743
