journey_id,user_id,conversion_timestamp,order_value_usd,n_touchpoints,journey_span_days,converting_channel,segment
j_5fc891d45e,u_9a62ea080a84,2023-02-09 06:35:53,127.68,5,21,email_retargeting,repeat_customer
j_8a37c4570a,u_889422b912c3,2023-12-06 15:09:06,52.13,3,17,direct,price_sensitive
j_51818b9ed3,u_e6800fa6f565,2023-05-20 21:08:43,206.34,4,14,paid_search_bing,brand_aware_browser
j_a31fd7f0ad,u_7923a4652c6b,2023-11-30 04:53:22,50.12,2,0,paid_search_bing,price_sensitive
j_b07f68db12,u_c625daca8153,2023-11-01 10:42:25,56.6,1,0,paid_search_bing,new_visitor
j_c304b3e77f,u_5e807f0a98cc,2023-03-31 13:37:28,22.12,5,28,paid_search_google,price_sensitive
j_b48bedb89f,u_f87033cc93ae,2023-10-26 02:20:04,162.76,2,12,direct,high_intent_shopper
j_c00c184b18,u_90d48bf5dbc0,2023-05-19 18:27:31,111.18,1,0,paid_social_facebook,high_intent_shopper
j_02d4411f26,u_c16916db63d3,2023-02-11 23:31:52,80.38,1,0,paid_social_facebook,repeat_customer
j_8ae94e6fd7,u_6ff4b8f7ef0e,2023-11-06 17:40:42,49.82,4,7,paid_search_google,brand_aware_browser
j_6b5a67c12f,u_62ac5141f279,2023-09-26 23:37:06,100.3,6,24,paid_search_google,brand_aware_browser
j_2aabbbd04c,u_c2141327ea3f,2023-10-06 07:58:53,86.93,3,23,direct,high_intent_shopper
j_24006646df,u_6515b6db5b17,2023-03-07 11:50:47,95.28,2,13,email_newsletter,high_intent_shopper
j_37758a1ebc,u_2006ca489f02,2023-07-31 07:21:10,116.35,9,28,paid_search_google,new_visitor
j_5da8f944b8,u_a2ce4a120070,2023-10-26 12:45:12,82.11,2,0,paid_search_google,high_intent_shopper
j_a56630e81c,u_e0c3b3b16b32,2023-07-06 18:09:04,93.59,3,16,paid_search_google,high_intent_shopper
j_383c048532,u_655cb476625b,2023-10-13 13:39:50,136.36,6,16,paid_search_google,high_intent_shopper
j_230182e23a,u_09b4387df05a,2023-11-05 21:14:57,58.43,3,20,paid_search_google,high_intent_shopper
j_0d9cf1467c,u_b4d76719e230,2023-10-03 15:55:27,112.6,2,1,paid_search_google,brand_aware_browser
j_752686cc8a,u_425ee9c84d8d,2023-11-08 01:11:54,91.06,2,18,email_newsletter,high_intent_shopper
j_d58229f6af,u_61b05e9b97e6,2023-05-28 16:04:13,48.91,3,10,influencer,new_visitor
j_1164842a57,u_494dc256d373,2023-11-26 03:51:48,108.27,3,10,email_retargeting,high_intent_shopper
j_9a0db31c6c,u_76841c72d5c1,2023-11-26 04:47:12,84.85,6,21,email_retargeting,high_intent_shopper
j_6dbf946d9d,u_c5ec86e917d3,2023-02-12 09:38:25,146.07,2,16,paid_search_google,repeat_customer
j_7e1ade25bd,u_c447db092201,2023-09-16 05:39:34,86.51,4,28,paid_search_google,high_intent_shopper
j_759c7d38fa,u_d3ca2a338132,2023-02-01 05:12:15,47.58,2,2,paid_search_google,price_sensitive
j_b6485159e7,u_00b05f5de9b1,2023-04-18 15:30:04,92.35,3,19,paid_social_instagram,high_intent_shopper
j_2565b23a41,u_c1665fa3a584,2023-09-08 02:14:38,116.01,1,0,paid_social_facebook,repeat_customer
j_e5c7dbfcbe,u_0f725b36a0d2,2023-05-27 09:57:46,78.08,3,5,display_programmatic,high_intent_shopper
j_ac67cffbb8,u_dbd24757b53a,2023-03-17 23:47:15,63.72,5,23,paid_search_bing,brand_aware_browser
j_e6a0c3edf3,u_65037a76e533,2023-07-09 04:50:44,159.56,2,5,paid_search_google,repeat_customer
j_306bcded0b,u_143ec9f3f2e5,2023-09-24 11:54:54,75.0,2,4,email_newsletter,high_intent_shopper
j_9afca57136,u_43bacddf2ed7,2023-06-06 16:50:17,161.6,1,0,paid_social_instagram,repeat_customer
j_9c216a012b,u_20a53485aaa1,2023-06-03 20:57:31,69.18,1,0,organic_search_seo,high_intent_shopper
j_8944d6959c,u_f0c5c3bb13cc,2023-01-17 17:53:07,180.98,2,10,email_retargeting,repeat_customer
j_a6fbf58567,u_964734788596,2023-08-20 20:34:57,100.63,5,22,organic_search_seo,repeat_customer
j_563678bb3e,u_f9a2ecdfe2c3,2023-02-05 07:40:57,61.23,1,0,paid_social_facebook,repeat_customer
j_5e298f76a1,u_44318bd800e2,2023-02-13 08:01:12,266.66,1,0,paid_search_google,high_intent_shopper
j_d55a8064ba,u_71008bf02490,2023-12-26 19:45:32,71.87,3,19,influencer,high_intent_shopper
j_962a82233d,u_3ede32e09ee4,2023-03-01 14:51:10,74.49,6,28,paid_search_google,price_sensitive
j_50f7bdbb4b,u_d2d8fe705f45,2023-02-04 20:18:52,54.06,1,0,paid_social_facebook,repeat_customer
j_362f7f67f9,u_ead1ca4d3139,2023-08-22 12:07:09,69.63,6,10,paid_social_facebook,price_sensitive
j_c429afc670,u_2ca650a6917f,2023-04-02 17:39:08,105.3,2,8,paid_social_facebook,high_intent_shopper
j_6a45c37938,u_3713f9cd86a1,2023-11-28 17:33:50,339.99,3,12,paid_search_google,repeat_customer
j_ba738c95cf,u_51a21dbccc8d,2023-03-05 06:19:24,54.49,8,22,paid_search_google,new_visitor
j_558a51e6e5,u_62030f7ffd0a,2023-12-15 19:42:54,51.18,6,23,paid_social_facebook,brand_aware_browser
j_879c930d46,u_887597945883,2023-10-01 12:52:46,27.48,6,21,paid_social_facebook,new_visitor
j_182facbe26,u_767d4ae1a279,2023-08-27 19:08:43,127.03,3,8,email_retargeting,high_intent_shopper
j_86cef4e112,u_a6e723353392,2023-09-29 07:43:37,155.22,3,13,organic_search_seo,repeat_customer
j_e1d64181bc,u_ffc4b242a2ab,2023-08-04 18:39:50,48.93,4,25,email_newsletter,price_sensitive
j_6b7bff7f7c,u_6aa3864f70e8,2023-11-25 14:57:07,35.17,4,16,paid_search_google,new_visitor
j_6a865eaf8e,u_f43da3a7b030,2023-09-22 08:32:35,172.26,1,0,paid_search_google,repeat_customer
j_b650b07575,u_1cd391d20798,2023-02-17 18:52:28,144.56,1,0,paid_social_facebook,high_intent_shopper
j_1e232c58ba,u_f25eb8a543e0,2023-09-21 21:29:46,70.9,1,0,paid_search_google,high_intent_shopper
j_57f4f4e82f,u_c256d6d10d14,2023-06-09 12:22:19,76.35,4,18,direct,new_visitor
j_cd770c96e6,u_bd2da10ca612,2023-11-25 04:02:44,99.29,1,0,email_newsletter,high_intent_shopper
j_785a6fbe50,u_dabe17567a71,2023-09-08 17:27:00,157.53,1,0,paid_search_bing,repeat_customer
j_69ea043216,u_7f41fe4b0eb6,2023-12-19 10:06:06,139.84,1,0,paid_search_google,repeat_customer
j_2a19828417,u_45e063fd5665,2023-03-17 15:54:01,116.61,3,20,paid_search_google,repeat_customer
j_d4ba804175,u_b7ce9eed2038,2023-09-22 06:29:31,67.07,1,0,display_programmatic,repeat_customer
j_53400dab8a,u_8da0c11ded7a,2023-07-12 18:49:29,61.05,4,11,paid_search_google,brand_aware_browser
j_c33c855ff0,u_8980de8b3681,2023-05-01 07:52:18,100.82,1,0,paid_social_instagram,repeat_customer
j_1641f781b4,u_3a2065b99e52,2023-10-18 07:20:17,93.48,4,9,paid_search_google,new_visitor
j_9461a5f7c3,u_d1ae9df56158,2023-04-03 17:07:05,57.46,6,16,email_newsletter,brand_aware_browser
j_56049f6805,u_3fcd4b8ff08e,2023-06-17 07:19:07,85.02,4,9,display_programmatic,new_visitor
j_e45f59fb96,u_6cd192c086d3,2023-08-26 05:27:06,116.11,1,0,influencer,repeat_customer
j_b5938edc5d,u_abeeb9aa4645,2023-09-01 11:10:05,80.53,3,10,paid_social_facebook,brand_aware_browser
j_af85db8da4,u_7e14116a3687,2023-02-01 10:29:48,83.72,6,25,paid_social_instagram,new_visitor
j_8bb85acfdb,u_6db0252803e9,2023-06-15 07:04:09,283.67,1,0,paid_social_facebook,repeat_customer
j_f9878a6433,u_ecfbd3b66e19,2023-07-24 14:05:26,140.81,2,21,direct,repeat_customer
j_4b46ef7240,u_f3ec070c88cf,2023-03-15 22:16:14,131.75,1,0,email_retargeting,repeat_customer
j_381dcea6fe,u_2267dedadac9,2023-10-21 03:05:33,97.37,2,20,paid_search_bing,repeat_customer
j_cdf31c664a,u_dbad8c97b36e,2023-03-31 08:48:09,93.69,5,22,paid_social_instagram,price_sensitive
j_6f2b56fbb3,u_0486a59b026a,2023-05-13 14:41:31,243.92,1,0,paid_social_facebook,repeat_customer
j_f062004787,u_18551cdc3da5,2023-02-07 08:50:14,42.07,1,0,paid_social_facebook,high_intent_shopper
j_24b021af44,u_78c8973121f2,2023-06-04 19:30:01,49.27,4,24,paid_social_facebook,price_sensitive
j_741660c065,u_abf67aaeea6e,2023-08-09 03:12:48,138.45,1,0,email_retargeting,repeat_customer
j_9dd6bd9b04,u_b8ac741933d0,2023-02-03 23:52:53,186.24,1,0,paid_social_instagram,repeat_customer
j_fa38f10e7f,u_859154f6ef33,2023-06-13 05:13:06,119.8,1,0,paid_social_instagram,high_intent_shopper
j_1ace146658,u_b58e5f8015fa,2023-10-23 05:34:09,126.96,2,6,paid_search_google,repeat_customer
j_67ecb8bbab,u_7ecd7e127e78,2023-10-10 12:39:14,131.53,1,0,paid_social_facebook,high_intent_shopper
j_be56d6ab33,u_69defc3c89b8,2023-10-21 05:04:27,150.41,1,0,display_programmatic,high_intent_shopper
j_cc87f6f7de,u_e4758c314754,2023-08-07 00:22:51,58.87,6,6,paid_search_google,high_intent_shopper
j_d18c231691,u_1efc4c81257c,2023-02-26 01:07:10,34.48,5,24,paid_search_google,price_sensitive
j_073a834453,u_b86b3b68ee84,2023-02-19 14:17:53,204.07,1,0,email_newsletter,repeat_customer
j_2a61a96497,u_8fe74b339c26,2023-04-02 13:46:45,167.86,3,21,organic_search_seo,repeat_customer
j_0ea6f64f10,u_c8bf27918d57,2023-10-09 08:05:43,58.06,4,23,email_newsletter,new_visitor
j_9f94967bec,u_d7f6d21ae7ef,2023-09-22 20:05:54,50.84,1,0,paid_social_facebook,high_intent_shopper
j_12abb83bf3,u_549a6fa7120d,2023-07-17 05:09:41,82.51,2,2,paid_search_google,repeat_customer
j_c7da3359cb,u_c3b53121fd0b,2023-02-07 05:56:39,181.5,4,22,email_retargeting,high_intent_shopper
j_2d41c06bd7,u_06a3d7ca9dfe,2023-12-08 14:21:25,86.48,1,0,influencer,repeat_customer
j_b22d005561,u_b7927ac29693,2023-04-06 11:33:55,70.92,4,15,paid_search_google,price_sensitive
j_ddc079f571,u_e4d8d595e1fd,2023-12-03 07:02:10,41.2,9,26,paid_search_google,new_visitor
j_c7b70c1a9e,u_9f1393f7db78,2023-08-15 10:31:47,80.66,4,17,direct,brand_aware_browser
j_0ced3dd6b3,u_988c7e0e31a4,2023-08-30 07:05:34,83.13,2,1,paid_search_google,high_intent_shopper
j_00d04b4489,u_ad2921661499,2023-04-01 19:35:47,99.82,1,0,email_newsletter,high_intent_shopper
j_6d6f0f3ba9,u_ba99c39ba1c5,2023-03-05 16:15:45,162.2,2,3,paid_search_google,brand_aware_browser
j_73842d9fd6,u_090ecf2ab932,2023-03-19 10:10:11,296.89,1,0,influencer,repeat_customer
j_67ab5f4b91,u_2dd18ae22033,2023-04-15 00:27:42,361.55,2,7,influencer,repeat_customer
j_58c5a5b938,u_69770aa56e4e,2023-04-21 00:31:47,51.01,2,0,paid_search_bing,high_intent_shopper
j_21eff393d8,u_e70f30dcbb72,2023-06-04 06:50:39,117.4,2,4,email_newsletter,new_visitor
j_c5906e8ba9,u_c3aafbde4470,2023-12-10 18:27:07,92.49,2,23,influencer,repeat_customer
j_ffc254c0d7,u_6da4171fb00b,2023-06-30 04:58:49,84.34,6,20,organic_search_seo,brand_aware_browser
j_37da7e8a46,u_a118250aa427,2023-07-03 08:16:09,50.3,1,0,paid_social_facebook,high_intent_shopper
j_89a30fe7e9,u_273578f9934f,2023-07-19 04:38:58,51.64,2,8,paid_search_google,high_intent_shopper
j_cdcfd7d2c6,u_45cbe5cdcc90,2023-02-05 06:06:39,58.11,10,23,email_newsletter,new_visitor
j_1968005b69,u_070148bfcdef,2023-07-11 16:19:38,150.7,2,10,paid_search_bing,brand_aware_browser
j_d1598e0eb0,u_bd927f92a803,2023-04-19 06:20:45,164.79,3,21,paid_search_google,repeat_customer
j_6e628c458d,u_502b09713d3a,2023-04-13 21:39:17,134.49,3,5,paid_search_google,high_intent_shopper
j_167f51fecc,u_88e578cc2d16,2023-11-15 11:16:59,104.25,2,1,paid_social_facebook,new_visitor
j_d10a58f4a3,u_918394b961cf,2023-12-15 17:40:36,107.02,1,0,paid_social_facebook,high_intent_shopper
j_6f62061419,u_9e613f0f470c,2023-05-24 18:11:37,309.97,3,29,paid_social_facebook,high_intent_shopper
j_0e66f67e4a,u_3f9e7ba314d8,2023-04-22 11:03:31,34.72,3,9,paid_social_facebook,price_sensitive
j_49b48c9ce7,u_854424e86bee,2023-03-31 04:58:47,171.78,4,27,influencer,high_intent_shopper
j_00ebf6fc12,u_7e4cee75d0c6,2023-11-26 01:18:16,90.63,1,0,paid_social_facebook,high_intent_shopper
j_c3fa8940c6,u_2e6688e9cb45,2023-10-07 10:45:04,138.8,5,18,display_programmatic,brand_aware_browser
j_bb02a326f9,u_1ce2b35d8f03,2023-01-27 04:38:38,118.42,3,19,organic_search_seo,repeat_customer
j_474be9f4f5,u_1fd38bb66d6c,2023-07-24 18:29:56,129.52,2,21,direct,repeat_customer
j_44854bcf44,u_265d087c3aa3,2023-01-18 22:59:15,138.96,1,0,display_programmatic,repeat_customer
j_c1bd8d3b36,u_c6c7d91c941a,2023-11-20 21:54:17,29.83,4,26,paid_search_google,price_sensitive
j_77983cbf24,u_5a5cc0042f78,2023-04-14 06:05:34,113.41,3,11,paid_social_instagram,high_intent_shopper
j_88a95f6af9,u_beeeed7ba4ba,2023-11-21 15:31:33,114.97,2,3,display_programmatic,repeat_customer
j_6e57d04628,u_c846b1f23b68,2023-02-16 11:26:00,195.86,1,0,paid_search_google,repeat_customer
j_8d1ace1ee7,u_70e9a40a61cd,2023-12-28 21:33:46,65.38,1,0,paid_social_facebook,price_sensitive
j_2bfe39af08,u_8e30de0067a1,2023-02-17 14:20:55,54.34,2,7,paid_search_bing,high_intent_shopper
j_c0c4b47dbe,u_bc8d45371078,2023-12-13 21:31:09,17.75,3,14,paid_social_facebook,price_sensitive
j_5ee333306c,u_55d8d643707d,2023-09-30 19:06:10,66.88,8,22,email_retargeting,new_visitor
j_06870831f8,u_a01d7b9b42aa,2023-10-02 08:54:11,212.08,1,0,display_programmatic,high_intent_shopper
j_dcd75f265e,u_f997106893ca,2023-06-14 00:00:22,96.55,2,3,organic_search_seo,high_intent_shopper
j_151727204f,u_b712fae31a78,2023-02-07 18:21:19,162.68,6,17,paid_search_google,repeat_customer
j_761fd666de,u_909daa1ee83c,2023-06-18 13:48:27,166.52,4,22,paid_search_bing,brand_aware_browser
j_afcfad6cb7,u_261b7d32eea7,2023-09-13 19:25:56,126.16,1,0,paid_search_bing,repeat_customer
j_8f96035871,u_5ad3b7707fe5,2023-11-14 04:01:27,91.07,3,16,paid_search_google,high_intent_shopper
j_454afe8cb0,u_92be01d5ccc3,2023-11-05 05:24:34,108.79,2,7,direct,high_intent_shopper
j_ec64724d1e,u_866086791e58,2023-12-02 15:26:59,125.21,1,0,paid_social_facebook,repeat_customer
j_01e20af91c,u_738094b40f41,2023-03-06 08:31:43,229.66,1,0,display_programmatic,repeat_customer
j_ea6484c54c,u_b8d1e8d74faa,2023-03-23 18:03:50,60.99,4,22,direct,price_sensitive
j_8f31e37667,u_2247167cafb3,2023-04-29 02:55:25,178.73,10,23,direct,brand_aware_browser
j_b1e3e2a8a3,u_343a159728bf,2023-08-11 13:50:12,44.55,1,0,paid_search_google,high_intent_shopper
j_3c90cb788e,u_1727ab6ef72e,2023-12-13 14:03:40,80.75,3,21,paid_search_google,repeat_customer
j_b812283f19,u_8866b7a3986e,2023-06-30 13:16:44,257.2,2,10,paid_search_google,repeat_customer
j_de3ab3d77a,u_4381482257c6,2023-12-10 23:08:18,51.81,8,28,paid_search_google,price_sensitive
j_9583c35def,u_29bebfb80a53,2023-04-07 13:00:06,224.8,2,6,paid_search_google,repeat_customer
j_bfabeb8118,u_4185e5d63159,2023-12-19 04:36:03,246.98,3,18,paid_search_bing,high_intent_shopper
j_1da92a69a4,u_c53b50ff85fd,2023-12-22 08:12:17,60.56,11,27,paid_social_facebook,new_visitor
j_6ce7029c7c,u_3cd661f43678,2023-06-07 21:21:48,104.52,2,4,paid_search_google,repeat_customer
j_0f87d4e0f0,u_d88e63597008,2023-08-03 20:51:40,88.63,1,0,paid_social_instagram,high_intent_shopper
j_0a24bcabca,u_78105758d7d8,2023-04-06 04:37:29,57.59,8,23,paid_search_google,new_visitor
j_f5dfc6fc68,u_c29d67de2809,2023-12-12 12:06:33,63.73,6,23,organic_search_seo,brand_aware_browser
j_3fd7a9d7b5,u_99b783533085,2023-05-02 14:58:08,175.74,1,0,display_programmatic,repeat_customer
j_ce9c09948d,u_ea3da7c75ce6,2023-10-18 21:06:35,120.32,2,12,email_retargeting,high_intent_shopper
j_68b48524f6,u_9fcc4310c9b5,2023-05-19 23:55:51,19.51,1,0,influencer,price_sensitive
j_bc92f4319a,u_3f010319f599,2023-11-03 08:38:35,54.03,1,0,influencer,repeat_customer
j_de822a07fc,u_6863056cbfa1,2023-11-04 23:45:28,155.4,1,0,email_retargeting,repeat_customer
j_5330d157a2,u_6469c720220a,2023-07-09 11:43:52,178.57,3,15,direct,repeat_customer
j_d9df3f5eac,u_fe3f976eb65b,2023-05-25 05:14:35,88.93,2,20,paid_search_google,repeat_customer
j_dcb0fba393,u_4ef5a78791d0,2023-02-15 17:57:53,159.02,5,17,direct,new_visitor
j_832f6ad233,u_2092570eda23,2023-05-16 04:25:03,231.92,1,0,email_retargeting,repeat_customer
j_197db1750a,u_a71cdedd09c0,2023-03-08 02:26:37,60.36,1,0,paid_social_instagram,repeat_customer
j_9864c9b0b8,u_f382a37331dc,2023-06-16 07:21:32,59.85,4,13,direct,high_intent_shopper
j_8bd1a520c9,u_c53acaf17cd8,2023-02-04 16:29:20,93.15,1,0,paid_social_instagram,high_intent_shopper
j_c8e573993f,u_43ae3db0c934,2023-11-05 08:45:01,59.4,1,0,influencer,repeat_customer
j_3e921ee3be,u_0a2fb3890c77,2023-12-24 13:41:24,74.52,7,15,email_newsletter,new_visitor
j_dd19240b3b,u_36ccbaa8ca91,2023-05-19 13:51:52,152.46,1,0,paid_social_facebook,repeat_customer
j_1850d5c96c,u_371f8234d238,2023-03-18 15:14:12,182.92,3,18,paid_search_google,high_intent_shopper
j_13664f1103,u_311d232e6e4a,2023-06-23 02:57:00,87.38,1,0,email_newsletter,repeat_customer
j_2b6b9f3227,u_ea6894c4eb14,2023-07-02 07:18:33,112.27,5,22,paid_social_facebook,brand_aware_browser
j_5b6997867f,u_d760b108880c,2023-03-20 10:02:23,76.69,1,0,display_programmatic,repeat_customer
j_723a638a40,u_fca7c0aefbf2,2023-11-09 10:09:54,80.76,4,4,direct,brand_aware_browser
j_d1b4d3a770,u_d5a040e73f3a,2023-03-28 13:51:16,42.68,1,0,paid_social_instagram,price_sensitive
j_b470095727,u_c5379ae516d5,2023-12-29 01:35:22,85.89,2,9,email_retargeting,price_sensitive
j_fa77411137,u_1a7600ff3fae,2023-10-15 11:30:08,71.21,5,13,paid_search_google,brand_aware_browser
j_71ce5663c7,u_c7fa8a1a6017,2023-04-26 16:11:24,94.97,4,15,direct,high_intent_shopper
j_8ec7d3a7f9,u_dac120f2b8a4,2023-07-23 15:20:14,82.6,5,27,email_newsletter,price_sensitive
j_f99254816a,u_97e8ffe68c2c,2023-11-17 02:41:27,98.35,1,0,paid_social_facebook,repeat_customer
j_afd5ae7c4d,u_d777914cb2f6,2023-04-22 21:05:25,110.27,1,0,paid_social_facebook,high_intent_shopper
j_efb6e09ca0,u_8e8261a9ffc5,2023-07-24 05:08:49,84.68,1,0,display_programmatic,price_sensitive
j_e30183614f,u_55349cc7b71a,2023-04-16 06:29:35,117.89,1,0,direct,repeat_customer
j_980a696ceb,u_3bbd4ac8c6fa,2023-02-03 23:55:42,54.16,2,3,email_retargeting,new_visitor
j_9687c6b17e,u_c9e8cebf5ba5,2023-06-03 13:37:18,140.35,1,0,display_programmatic,high_intent_shopper
j_4fa94dce96,u_2a1f0b8937ca,2023-04-09 07:51:23,71.5,2,1,paid_social_instagram,repeat_customer
j_0fabe9546b,u_fbb9b42ee615,2023-07-31 00:14:49,38.45,6,21,email_newsletter,new_visitor
j_cbc8ccbf73,u_ea0e6649d16e,2023-03-12 21:22:15,138.16,2,18,display_programmatic,high_intent_shopper
j_2b2563724a,u_d0111c25cbba,2023-10-13 15:56:30,124.31,1,0,influencer,repeat_customer
j_8c476617e6,u_cd749879b359,2023-06-22 07:26:45,103.44,2,22,paid_search_google,high_intent_shopper
j_2dd9113c08,u_346f99159037,2023-11-05 00:42:24,105.2,1,0,paid_search_google,price_sensitive
j_7b6a9846ba,u_54f70172dfdf,2023-11-19 13:13:41,110.89,1,0,paid_search_google,high_intent_shopper
j_6526e55693,u_1205237a9f79,2023-08-22 09:28:51,123.47,7,24,direct,brand_aware_browser
j_ad4b035542,u_a2a38ac82b6a,2023-04-18 00:02:48,165.77,1,0,organic_search_seo,repeat_customer
j_5be00b1464,u_3e8cd97d47d1,2023-02-10 04:59:18,36.05,4,12,paid_search_google,brand_aware_browser
j_9d7fbec7cc,u_aac645bba422,2023-08-27 19:15:38,74.75,1,0,influencer,high_intent_shopper
j_dbe9abedba,u_42cda49bd51e,2023-09-20 05:10:17,53.57,1,0,paid_social_facebook,high_intent_shopper
j_185f7b218d,u_ed3e8d3795b2,2023-06-04 18:52:21,118.57,2,15,email_newsletter,high_intent_shopper
j_fcd1b881a5,u_759495b9e6bd,2023-07-18 05:19:16,42.09,4,23,paid_social_facebook,price_sensitive
j_3263504199,u_a94e1c7c8e5b,2023-10-11 01:38:55,49.25,10,24,email_retargeting,brand_aware_browser
j_9db8e6cc9d,u_ea0b154d3690,2023-03-09 22:20:38,75.89,4,13,paid_search_google,new_visitor
j_680e24cd4d,u_f5e8bd8fc3ac,2023-06-27 13:36:20,162.15,1,0,display_programmatic,repeat_customer
j_fb1bc4430c,u_7e37ccf2f196,2023-07-09 18:42:34,84.27,4,19,email_retargeting,repeat_customer
j_78ed965c23,u_b4bd32138a8b,2023-09-02 22:09:16,52.4,5,18,email_newsletter,price_sensitive
j_a40a2d1d23,u_ec78c7d90be6,2023-10-04 06:05:40,66.21,1,0,paid_search_google,high_intent_shopper
j_173f56be51,u_ab606b706b1d,2023-03-05 13:01:41,209.48,1,0,paid_search_google,repeat_customer
j_e36ed9f096,u_d00bbc98c3d7,2023-05-19 07:28:17,60.2,3,10,paid_search_google,brand_aware_browser
j_f4bb1d2d96,u_a89191e08eec,2023-08-25 23:14:18,63.42,5,17,paid_search_bing,price_sensitive
j_ef5518eb69,u_828d360390bd,2023-07-09 01:00:29,65.18,2,22,paid_social_facebook,repeat_customer
j_beb243e25f,u_776095fb42d1,2023-02-03 09:45:27,51.31,1,0,display_programmatic,high_intent_shopper
j_71ec64b907,u_61bb6b7204d4,2023-12-20 17:16:34,150.72,3,22,email_retargeting,high_intent_shopper
j_47595a7532,u_347683b886aa,2023-07-30 11:19:35,113.91,1,0,organic_search_seo,repeat_customer
j_a9af056db7,u_1bd4a079daaa,2023-02-24 08:59:07,104.02,2,3,email_retargeting,high_intent_shopper
j_bb88999ea7,u_735fe5aadcda,2023-02-22 20:22:12,52.25,5,5,direct,high_intent_shopper
j_a4b406c6f4,u_febdffd91bf3,2023-12-21 04:33:47,64.18,2,0,influencer,high_intent_shopper
j_3abf13792a,u_b7a61a2e2e73,2023-12-29 19:04:34,124.6,4,24,email_newsletter,high_intent_shopper
j_bdfb9c743c,u_fde1027bf62e,2023-06-28 22:30:43,85.27,3,7,paid_social_instagram,repeat_customer
